No.,カテゴリ,グループ,種別,タイトル,公開済,アフィ候補
1,節約,固定費削減,親,固定費を見直す方法｜毎月の支出を減らすポイント,済,なし
1_1,節約,固定費削減,子,格安SIMに乗り換えるメリット・デメリット,済,格安SIM
1_2,節約,固定費削減,子,サブスクを整理する方法,済,なし
1_3,節約,固定費削減,子,保険を見直すときの確認ポイント,済,保険
1_4,節約,固定費削減,子,家賃を見直す方法｜住居費を下げる考え方,済,なし
1_5,節約,固定費削減,子,固定費を一度に見直すチェックリスト,済,なし
1_6,節約,固定費削減,子,楽天モバイルを選んだ理由｜料金上限がわかりやすく管理しやすい,済,楽天モバイル
2,節約,食費節約,親,食費を無理なく節約する方法｜続けやすい見直し方,済,なし
2_1,節約,食費節約,子,食費を月いくらに抑えるべきか,済,なし
2_2,節約,食費節約,子,外食費を減らす方法,済,なし
2_3,節約,食費節約,子,まとめ買いで食費を節約する方法,済,なし
2_4,節約,食費節約,子,食材を使い切って食品ロスを減らす方法,済,なし
2_5,節約,食費節約,子,安い食材で栄養を保つ方法,済,なし
2_6,節約,食費節約,子,無理なく自炊するコツ｜炒め物・シチュー・鍋を味変して続ける方法,済,なし
2_7,節約,食費節約,子,冷凍弁当を作り置きする方法｜会社で温めるだけでラクに節約,済,なし
2_8,節約,食費節約,子,レシピを決めずに買い物する食費節約術｜安い食材から献立を考える,済,なし
2_9,節約,食費節約,子,コンビニと外食を減らして食費を節約する方法,済,なし
3,節約,光熱費節約,親,電気代・ガス代を節約する方法｜効果の大きい対策,済,なし
3_1,節約,光熱費節約,子,電気代を節約する方法,済,なし
3_2,節約,光熱費節約,子,エアコンの電気代を抑える方法,済,なし
3_3,節約,光熱費節約,子,待機電力を減らす方法,済,なし
3_4,節約,光熱費節約,子,ガス代を節約する方法,済,なし
3_5,節約,光熱費節約,子,水道代を見直す方法,済,なし
4,節約,買い物節約,親,買い物で無駄遣いを減らす方法｜必要なものだけ買うコツ,済,なし
4_1,節約,買い物節約,子,ポイント還元を活用する方法,済,ポイントサイト
4_2,節約,買い物節約,子,セールで買いすぎないための考え方,済,なし
4_3,節約,買い物節約,子,ネット通販の衝動買いを防ぐ方法,済,なし
4_4,節約,買い物節約,子,安物買いの失敗を防ぐ方法,済,なし
4_5,節約,買い物節約,子,買う前に確認したいチェック項目,済,なし
5,節約,節約の考え方,親,節約が続かない原因は？無理なく続けるコツ,済,なし
